neighbourhood_group,neighbourhood,room_type,price,availability_365
Queens,Flushing,Private room,140,1
Brooklyn,Bedford-Stuyvesant,Entire home_apt,115,170
Brooklyn,Williamsburg,Entire home_apt,160,188
Brooklyn,Williamsburg,Entire home_apt,195,214
Manhattan,East Village,Entire home_apt,195,248
Brooklyn,Williamsburg,Private room,80,262
Brooklyn,Fort Greene,Private room,44,280
Manhattan,West Village,Private room,156,307
Brooklyn,Prospect Heights,Private room,85,339
Brooklyn,Williamsburg,Private room,125,1
Brooklyn,Prospect Heights,Entire home_apt,115,269
Manhattan,East Harlem,Private room,69,10
Manhattan,West Village,Entire home_apt,225,312
Brooklyn,Williamsburg,Entire home_apt,125,189
Manhattan,Upper East Side,Entire home_apt,219,290
Brooklyn,Boerum Hill,Entire home_apt,475,230
Manhattan,Upper East Side,Entire home_apt,99,164
Brooklyn,Williamsburg,Private room,69,53
Queens,Sunnyside,Private room,79,126
Brooklyn,Bedford-Stuyvesant,Entire home_apt,135,3
Brooklyn,DUMBO,Private room,250,189
Manhattan,Upper East Side,Entire home_apt,250,365
Brooklyn,Gowanus,Entire home_apt,250,0
Manhattan,Harlem,Entire home_apt,80,0
Brooklyn,Clinton Hill,Private room,70,336
Brooklyn,Carroll Gardens,Entire home_apt,165,342
Staten Island,St. George,Private room,70,312
Brooklyn,Bushwick,Private room,50,37
Bronx,Highbridge,Private room,40,353
Brooklyn,Williamsburg,Entire home_apt,150,177
Manhattan,East Village,Private room,125,310
Manhattan,Financial District,Entire home_apt,196,0
Brooklyn,Fort Greene,Private room,110,321
Manhattan,West Village,Entire home_apt,170,246
Manhattan,Harlem,Entire home_apt,165,231
Manhattan,West Village,Entire home_apt,150,225
Manhattan,Harlem,Entire home_apt,100,0
Brooklyn,Fort Greene,Private room,65,0
Queens,Ridgewood,Entire home_apt,350,365
Manhattan,Morningside Heights,Private room,99,233
Brooklyn,Williamsburg,Entire home_apt,200,1
Brooklyn,Park Slope,Entire home_apt,150,18
Brooklyn,Bedford-Stuyvesant,Private room,90,343
Brooklyn,Prospect Heights,Private room,120,250
Manhattan,Upper East Side,Private room,75,326
Brooklyn,Bedford-Stuyvesant,Entire home_apt,175,364
Manhattan,Chelsea,Entire home_apt,125,0
Manhattan,Hell's Kitchen,Entire home_apt,275,299
Manhattan,Lower East Side,Entire home_apt,299,207
Brooklyn,South Slope,Entire home_apt,135,162
Manhattan,Upper East Side,Private room,130,0
Manhattan,Lower East Side,Private room,83,7
Manhattan,Chelsea,Private room,123,328
Queens,Jamaica,Private room,55,365
Manhattan,Hell's Kitchen,Entire home_apt,195,0
Brooklyn,Bedford-Stuyvesant,Private room,80,0
Queens,Middle Village,Entire home_apt,98,240
Queens,Ridgewood,Private room,140,365
Queens,Middle Village,Entire home_apt,265,365
Brooklyn,Williamsburg,Entire home_apt,249,164
Manhattan,Hell's Kitchen,Shared room,105,363
Manhattan,Harlem,Private room,200,365
Brooklyn,Prospect Heights,Private room,100,250
Manhattan,Harlem,Entire home_apt,121,247
Bronx,Highbridge,Private room,45,323
Manhattan,East Harlem,Private room,100,192
Brooklyn,Williamsburg,Entire home_apt,140,125
Brooklyn,Bedford-Stuyvesant,Private room,71,91
Manhattan,NoHo,Private room,130,75
Manhattan,West Village,Entire home_apt,199,286
Brooklyn,Williamsburg,Private room,69,60
Brooklyn,Fort Greene,Private room,68,0
Manhattan,East Village,Entire home_apt,130,192
Brooklyn,Greenpoint,Entire home_apt,195,58
Manhattan,Harlem,Private room,64,245
Queens,Ditmars Steinway,Entire home_apt,140,292
Brooklyn,Cobble Hill,Entire home_apt,159,279
Manhattan,East Village,Entire home_apt,189,0
Manhattan,Hell's Kitchen,Entire home_apt,250,3
Manhattan,East Village,Entire home_apt,239,351
Manhattan,Flatiron District,Entire home_apt,305,201
Manhattan,Harlem,Entire home_apt,155,232
Manhattan,Harlem,Private room,60,258
Brooklyn,Windsor Terrace,Private room,135,272
Manhattan,Roosevelt Island,Private room,120,341
Manhattan,Lower East Side,Entire home_apt,150,244
Queens,Ridgewood,Entire home_apt,140,365
Brooklyn,Greenpoint,Entire home_apt,135,12
Manhattan,Chinatown,Entire home_apt,250,265
Manhattan,Midtown,Entire home_apt,250,0
Manhattan,SoHo,Entire home_apt,500,329
Manhattan,Greenwich Village,Entire home_apt,225,91
Manhattan,East Harlem,Entire home_apt,125,365
Manhattan,Harlem,Private room,92,253
Manhattan,Harlem,Private room,175,365
Manhattan,East Village,Entire home_apt,99,320
Manhattan,Upper West Side,Entire home_apt,195,0
Manhattan,East Harlem,Entire home_apt,140,192
Manhattan,Little Italy,Entire home_apt,135,0
Manhattan,Chelsea,Entire home_apt,500,348
Manhattan,Harlem,Private room,80,0
Manhattan,Chinatown,Private room,120,353
Manhattan,Midtown,Entire home_apt,110,140
Brooklyn,East Flatbush,Entire home_apt,65,2
Manhattan,East Village,Entire home_apt,130,56
Brooklyn,Bushwick,Entire home_apt,99,68
Staten Island,Tompkinsville,Private room,36,360
Staten Island,Tompkinsville,Private room,37,0
Staten Island,Tompkinsville,Private room,37,320
Manhattan,East Village,Entire home_apt,175,326
Manhattan,Chelsea,Entire home_apt,205,76
Brooklyn,Greenpoint,Entire home_apt,285,279
Brooklyn,Williamsburg,Private room,59,15
Staten Island,Tompkinsville,Private room,36,340
Queens,Astoria,Entire home_apt,99,226
Brooklyn,Kensington,Private room,39,365
Brooklyn,Park Slope,Private room,60,0
Bronx,Clason Point,Private room,90,349
Bronx,Eastchester,Entire home_apt,105,365
Brooklyn,Bedford-Stuyvesant,Entire home_apt,135,11
Manhattan,East Village,Entire home_apt,390,316
Brooklyn,Bedford-Stuyvesant,Private room,70,281
Manhattan,Inwood,Private room,75,323
Brooklyn,Williamsburg,Private room,60,362
Manhattan,East Village,Entire home_apt,200,0
Brooklyn,Crown Heights,Private room,100,301
Brooklyn,Bedford-Stuyvesant,Private room,70,189
Brooklyn,Crown Heights,Private room,110,0
Brooklyn,Crown Heights,Private room,60,287
Manhattan,Little Italy,Entire home_apt,90,14
Manhattan,East Village,Private room,68,86
Manhattan,Upper West Side,Entire home_apt,115,261
Brooklyn,Bedford-Stuyvesant,Private room,75,68
Brooklyn,Williamsburg,Private room,60,0
Manhattan,East Village,Entire home_apt,129,231
Brooklyn,Williamsburg,Entire home_apt,130,152
Brooklyn,Williamsburg,Entire home_apt,95,46
Manhattan,Harlem,Private room,75,364
Brooklyn,Park Slope,Entire home_apt,175,246
Brooklyn,Carroll Gardens,Entire home_apt,190,288
Brooklyn,Crown Heights,Private room,49,331
Manhattan,East Village,Entire home_apt,212,51
Manhattan,Lower East Side,Private room,95,364
Brooklyn,Williamsburg,Entire home_apt,140,254
Manhattan,Harlem,Entire home_apt,135,189
Brooklyn,Park Slope,Entire home_apt,150,263
Brooklyn,Gowanus,Entire home_apt,190,258
Manhattan,East Harlem,Entire home_apt,124,103
Brooklyn,Williamsburg,Entire home_apt,135,42
Manhattan,Morningside Heights,Private room,122,246
Manhattan,Upper West Side,Private room,109,364
Manhattan,Harlem,Private room,85,318
Brooklyn,Bedford-Stuyvesant,Entire home_apt,145,72
Manhattan,Upper West Side,Entire home_apt,195,249
Brooklyn,Carroll Gardens,Entire home_apt,250,272
Brooklyn,Greenpoint,Private room,125,325
Manhattan,Little Italy,Entire home_apt,575,298
Manhattan,Upper West Side,Entire home_apt,150,35
Brooklyn,Bushwick,Private room,70,203
Manhattan,Inwood,Private room,90,132
Manhattan,East Village,Private room,65,5
Manhattan,East Village,Entire home_apt,500,297
Manhattan,Washington Heights,Entire home_apt,250,276
Manhattan,Chinatown,Entire home_apt,125,102
Manhattan,West Village,Entire home_apt,200,251
Brooklyn,Greenpoint,Entire home_apt,229,188
Bronx,Kingsbridge,Entire home_apt,90,346
Manhattan,Upper West Side,Entire home_apt,110,0
Brooklyn,Greenpoint,Private room,59,15
Brooklyn,Williamsburg,Entire home_apt,195,71
Brooklyn,Williamsburg,Entire home_apt,169,215
Manhattan,East Harlem,Entire home_apt,113,253
Manhattan,Harlem,Entire home_apt,250,78
Queens,Astoria,Entire home_apt,115,257
Brooklyn,Greenpoint,Private room,55,0
Brooklyn,Williamsburg,Private room,69,8
Manhattan,Lower East Side,Entire home_apt,150,191
Brooklyn,South Slope,Entire home_apt,169,182
Brooklyn,Greenpoint,Private room,179,79
Manhattan,Hell's Kitchen,Private room,150,49
Brooklyn,Boerum Hill,Entire home_apt,135,0
Brooklyn,Clinton Hill,Entire home_apt,350,156
Brooklyn,Williamsburg,Private room,120,343
Manhattan,East Village,Private room,71,200
Brooklyn,Greenpoint,Private room,349,60
Brooklyn,Greenpoint,Private room,349,60
Brooklyn,Park Slope,Entire home_apt,165,189
Brooklyn,Greenpoint,Private room,249,60
Brooklyn,Brooklyn Heights,Private room,100,0
Brooklyn,Brooklyn Heights,Entire home_apt,200,106
Manhattan,East Village,Entire home_apt,169,276
Brooklyn,Bedford-Stuyvesant,Entire home_apt,185,248
Brooklyn,Bushwick,Entire home_apt,65,194
Brooklyn,Fort Greene,Entire home_apt,130,135
Brooklyn,Williamsburg,Entire home_apt,199,30
Manhattan,East Village,Entire home_apt,225,0
Brooklyn,Greenpoint,Private room,179,81
Brooklyn,Crown Heights,Entire home_apt,150,0
Manhattan,East Village,Entire home_apt,139,142
Manhattan,Two Bridges,Private room,95,60
Brooklyn,Crown Heights,Entire home_apt,79,179
Manhattan,Lower East Side,Entire home_apt,150,52
Brooklyn,Clinton Hill,Entire home_apt,650,365
Brooklyn,Bedford-Stuyvesant,Entire home_apt,90,324
Brooklyn,Bedford-Stuyvesant,Entire home_apt,120,237
Queens,Astoria,Private room,80,365
Brooklyn,Crown Heights,Entire home_apt,100,365
Brooklyn,Bedford-Stuyvesant,Entire home_apt,175,204
Brooklyn,Crown Heights,Entire home_apt,120,272
Brooklyn,Williamsburg,Entire home_apt,140,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,200,9
Brooklyn,Clinton Hill,Private room,165,365
Manhattan,Kips Bay,Entire home_apt,125,181
Manhattan,Chelsea,Entire home_apt,130,189
Manhattan,East Harlem,Shared room,65,0
Brooklyn,Fort Greene,Entire home_apt,123,189
Manhattan,Washington Heights,Private room,67,296
Queens,Queens Village,Private room,50,88
Brooklyn,Gowanus,Entire home_apt,130,35
Brooklyn,Williamsburg,Private room,100,0
Manhattan,Upper West Side,Entire home_apt,212,35
Brooklyn,Williamsburg,Entire home_apt,190,359
Brooklyn,Greenpoint,Private room,599,60
Manhattan,East Village,Entire home_apt,249,365
Queens,Rockaway Beach,Private room,70,335
Brooklyn,Crown Heights,Entire home_apt,100,282
Manhattan,Harlem,Private room,60,247
Brooklyn,Bedford-Stuyvesant,Entire home_apt,135,102
Brooklyn,Greenpoint,Entire home_apt,175,274
Manhattan,Upper West Side,Entire home_apt,120,201
Manhattan,Midtown,Entire home_apt,169,98
Brooklyn,Crown Heights,Entire home_apt,165,157
Manhattan,Harlem,Private room,90,0
Manhattan,Upper East Side,Entire home_apt,225,312
Brooklyn,Fort Greene,Private room,95,331
Brooklyn,Crown Heights,Private room,55,275
Manhattan,Hell's Kitchen,Private room,85,174
Brooklyn,South Slope,Entire home_apt,199,223
Manhattan,Lower East Side,Entire home_apt,211,361
Manhattan,Midtown,Entire home_apt,145,0
Manhattan,Harlem,Private room,65,283
Manhattan,Harlem,Entire home_apt,99,220
Queens,Astoria,Entire home_apt,110,363
Brooklyn,Crown Heights,Entire home_apt,80,315
Brooklyn,Brooklyn Heights,Entire home_apt,150,281
Brooklyn,Bedford-Stuyvesant,Entire home_apt,110,283
Manhattan,Chelsea,Private room,290,20
Manhattan,East Village,Private room,87,0
Brooklyn,Williamsburg,Entire home_apt,190,331
Brooklyn,Williamsburg,Entire home_apt,200,36
Brooklyn,Park Slope,Entire home_apt,165,7
Manhattan,Harlem,Entire home_apt,110,301
Manhattan,East Village,Entire home_apt,395,170
Brooklyn,Bedford-Stuyvesant,Private room,99,307
Brooklyn,Kensington,Private room,39,365
Manhattan,East Village,Entire home_apt,189,201
Manhattan,Upper West Side,Private room,85,0
Brooklyn,Gowanus,Entire home_apt,260,316
Manhattan,Harlem,Entire home_apt,122,271
Brooklyn,Greenpoint,Entire home_apt,165,139
Queens,Forest Hills,Entire home_apt,97,209
Manhattan,West Village,Entire home_apt,170,0
Brooklyn,Williamsburg,Entire home_apt,125,0
Manhattan,Murray Hill,Private room,130,193
Brooklyn,Williamsburg,Entire home_apt,225,52
Brooklyn,East Flatbush,Private room,50,136
Brooklyn,Fort Greene,Entire home_apt,170,286
Manhattan,Chelsea,Entire home_apt,132,0
Brooklyn,Park Slope,Entire home_apt,250,18
Brooklyn,Greenpoint,Entire home_apt,141,9
Brooklyn,Crown Heights,Entire home_apt,64,3
Brooklyn,Williamsburg,Entire home_apt,249,277
Brooklyn,Crown Heights,Private room,79,0
Manhattan,East Village,Entire home_apt,185,233
Brooklyn,Boerum Hill,Entire home_apt,120,221
Brooklyn,Park Slope,Entire home_apt,495,355
Manhattan,Nolita,Entire home_apt,375,0
Manhattan,Nolita,Entire home_apt,175,277
Manhattan,East Village,Entire home_apt,150,0
Manhattan,Harlem,Entire home_apt,259,343
Manhattan,East Village,Private room,96,0
Brooklyn,Williamsburg,Entire home_apt,145,0
Manhattan,Chelsea,Entire home_apt,200,0
Manhattan,Upper West Side,Entire home_apt,95,0
Brooklyn,Windsor Terrace,Entire home_apt,250,188
Manhattan,Harlem,Entire home_apt,295,264
Manhattan,Greenwich Village,Entire home_apt,175,0
Brooklyn,Williamsburg,Entire home_apt,451,331
Manhattan,Upper West Side,Entire home_apt,165,236
Manhattan,Upper East Side,Entire home_apt,250,0
Bronx,Woodlawn,Entire home_apt,77,309
Manhattan,Lower East Side,Entire home_apt,250,0
Queens,Astoria,Entire home_apt,129,245
Brooklyn,Williamsburg,Private room,98,0
Brooklyn,Park Slope,Entire home_apt,150,8
Manhattan,East Village,Private room,95,359
Manhattan,Harlem,Private room,55,333
Manhattan,Harlem,Entire home_apt,300,258
Queens,Sunnyside,Private room,42,236
Brooklyn,Greenpoint,Entire home_apt,125,22
Manhattan,East Village,Private room,175,236
Manhattan,Harlem,Private room,75,365
Brooklyn,Williamsburg,Entire home_apt,255,89
Brooklyn,Bedford-Stuyvesant,Entire home_apt,72,164
Brooklyn,Bedford-Stuyvesant,Private room,165,311
Brooklyn,Williamsburg,Entire home_apt,165,23
Brooklyn,Clinton Hill,Private room,75,365
Brooklyn,Greenpoint,Entire home_apt,130,0
Brooklyn,Williamsburg,Entire home_apt,139,222
Brooklyn,Bedford-Stuyvesant,Private room,88,238
Brooklyn,Bedford-Stuyvesant,Private room,80,218
Manhattan,Chelsea,Private room,150,0
Manhattan,Upper West Side,Entire home_apt,200,0
Manhattan,East Village,Entire home_apt,200,235
Queens,Sunnyside,Private room,42,246
Brooklyn,Williamsburg,Private room,90,0
Manhattan,Harlem,Entire home_apt,295,247
Brooklyn,Williamsburg,Entire home_apt,450,15
Brooklyn,Crown Heights,Entire home_apt,130,119
Brooklyn,Williamsburg,Private room,89,0
Manhattan,Harlem,Entire home_apt,198,234
Manhattan,East Village,Entire home_apt,99,257
Brooklyn,Greenpoint,Private room,46,350
Manhattan,SoHo,Private room,140,221
Brooklyn,Carroll Gardens,Entire home_apt,500,0
Manhattan,Morningside Heights,Private room,75,201
Queens,Sunnyside,Private room,33,161
Manhattan,Upper West Side,Entire home_apt,250,259
Brooklyn,Bushwick,Private room,60,0
Manhattan,Washington Heights,Private room,75,222
Brooklyn,Carroll Gardens,Entire home_apt,350,0
Manhattan,Chelsea,Entire home_apt,205,76
Brooklyn,Park Slope,Entire home_apt,219,0
Brooklyn,Park Slope,Private room,60,258
Manhattan,Upper West Side,Entire home_apt,185,14
Manhattan,East Village,Entire home_apt,190,27
Brooklyn,South Slope,Entire home_apt,105,167
Manhattan,East Harlem,Entire home_apt,250,68
Manhattan,Upper West Side,Entire home_apt,175,358
Manhattan,Harlem,Private room,65,59
Brooklyn,Bedford-Stuyvesant,Entire home_apt,75,0
Bronx,University Heights,Private room,37,232
Brooklyn,Williamsburg,Entire home_apt,85,15
Brooklyn,Gravesend,Entire home_apt,106,0
Manhattan,East Harlem,Entire home_apt,79,0
Brooklyn,Fort Greene,Private room,85,161
Manhattan,Harlem,Private room,170,88
Manhattan,Lower East Side,Private room,115,337
Manhattan,Harlem,Private room,89,247
Manhattan,Harlem,Shared room,49,248
Brooklyn,Greenpoint,Private room,91,287
Manhattan,Gramercy,Entire home_apt,400,304
Brooklyn,Bushwick,Entire home_apt,150,0
Manhattan,Upper West Side,Entire home_apt,2000,0
Brooklyn,Crown Heights,Entire home_apt,97,193
Manhattan,East Village,Private room,100,43
Brooklyn,Williamsburg,Entire home_apt,179,25
Brooklyn,Greenpoint,Entire home_apt,500,127
Manhattan,Chelsea,Entire home_apt,429,0
Manhattan,Kips Bay,Entire home_apt,189,303
Manhattan,Lower East Side,Private room,120,345
Manhattan,Nolita,Entire home_apt,300,115
Queens,Astoria,Entire home_apt,107,200
Queens,Astoria,Entire home_apt,95,271
Manhattan,Harlem,Entire home_apt,199,12
Manhattan,East Harlem,Entire home_apt,120,268
Manhattan,West Village,Entire home_apt,199,89
Bronx,Allerton,Entire home_apt,125,347
Brooklyn,Williamsburg,Private room,70,37
Brooklyn,Williamsburg,Private room,75,0
Manhattan,West Village,Private room,100,359
Brooklyn,Bedford-Stuyvesant,Entire home_apt,99,287
Manhattan,Chelsea,Entire home_apt,250,0
Brooklyn,Williamsburg,Entire home_apt,350,233
Brooklyn,Prospect Heights,Entire home_apt,170,129
Manhattan,East Village,Entire home_apt,165,0
Manhattan,Hell's Kitchen,Private room,99,353
Manhattan,Chelsea,Private room,255,365
Brooklyn,East New York,Entire home_apt,169,297
Brooklyn,Crown Heights,Entire home_apt,99,56
Manhattan,Upper East Side,Entire home_apt,169,44
Brooklyn,Bedford-Stuyvesant,Entire home_apt,160,355
Brooklyn,Prospect Heights,Entire home_apt,215,156
Brooklyn,Park Slope,Entire home_apt,130,273
Manhattan,East Village,Private room,110,274
Manhattan,Hell's Kitchen,Private room,150,258
Brooklyn,Williamsburg,Private room,65,276
Queens,Sunnyside,Private room,75,65
Manhattan,Chelsea,Entire home_apt,149,0
Manhattan,Upper West Side,Private room,89,180
Manhattan,Washington Heights,Private room,50,343
Brooklyn,Prospect-Lefferts Gardens,Private room,43,43
Brooklyn,Prospect-Lefferts Gardens,Private room,42,96
Brooklyn,Williamsburg,Private room,85,59
Brooklyn,Bedford-Stuyvesant,Entire home_apt,139,255
Brooklyn,Park Slope,Private room,105,252
Brooklyn,Park Slope,Entire home_apt,265,0
Manhattan,Hell's Kitchen,Entire home_apt,149,20
Manhattan,Harlem,Private room,68,188
Brooklyn,Bedford-Stuyvesant,Entire home_apt,99,304
Manhattan,Harlem,Private room,75,38
Brooklyn,Williamsburg,Private room,100,254
Manhattan,Upper East Side,Shared room,90,0
Manhattan,East Village,Entire home_apt,160,46
Brooklyn,Park Slope,Entire home_apt,190,328
Brooklyn,Bedford-Stuyvesant,Private room,67,0
Manhattan,Upper East Side,Entire home_apt,190,0
Brooklyn,Clinton Hill,Entire home_apt,248,199
Brooklyn,Williamsburg,Private room,100,249
Manhattan,Chinatown,Private room,95,64
Manhattan,Theater District,Private room,150,111
Brooklyn,Bedford-Stuyvesant,Entire home_apt,145,287
Brooklyn,Bushwick,Private room,41,286
Brooklyn,Williamsburg,Entire home_apt,120,263
Bronx,Concourse Village,Private room,50,276
Brooklyn,Fort Greene,Entire home_apt,157,0
Brooklyn,Williamsburg,Entire home_apt,195,263
Brooklyn,Sheepshead Bay,Entire home_apt,70,90
Brooklyn,Williamsburg,Entire home_apt,185,0
Brooklyn,Bedford-Stuyvesant,Entire home_apt,145,11
Queens,Sunnyside,Private room,50,287
Brooklyn,Greenpoint,Entire home_apt,185,1
Manhattan,East Village,Entire home_apt,250,0
Manhattan,West Village,Private room,80,338
Manhattan,Theater District,Entire home_apt,230,44
Brooklyn,Gowanus,Entire home_apt,100,0
Brooklyn,Bushwick,Private room,40,5
Manhattan,Lower East Side,Private room,200,0
Staten Island,Emerson Hill,Private room,80,158
Brooklyn,Bedford-Stuyvesant,Private room,79,192
Queens,Long Island City,Entire home_apt,95,358
Manhattan,Upper West Side,Entire home_apt,300,31
Brooklyn,Fort Hamilton,Entire home_apt,100,241
Manhattan,Harlem,Private room,80,285
Brooklyn,Bensonhurst,Entire home_apt,110,183
Brooklyn,Clinton Hill,Entire home_apt,172,189
Manhattan,Lower East Side,Entire home_apt,199,162
Manhattan,Lower East Side,Entire home_apt,199,158
Manhattan,Harlem,Private room,100,84
Manhattan,Harlem,Private room,55,260
Brooklyn,Bedford-Stuyvesant,Private room,75,0
Manhattan,East Village,Entire home_apt,146,166
Manhattan,NoHo,Private room,250,0
Brooklyn,Greenpoint,Entire home_apt,116,335
Manhattan,Tribeca,Private room,150,90
Brooklyn,Park Slope,Private room,120,342
Manhattan,Chelsea,Entire home_apt,199,28
